,order_status,customer,order_date,order_quantity,sales,discount,discount_value,product_category,product_sub_category
2715,Order Finished,Lindsay Shagiari,2012-09-13,23,789600,0.1,78960,Technology,Computer Peripherals
2716,Order Finished,Sean O'Donnell,2009-11-30,44,552000,0.08,44160,Office Supplies,Paper
2717,Order Finished,Robert Marley,2012-01-27,33,415840,0.08,33267,Office Supplies,Binders & Binder Accessories
2718,Order Finished,Katherine Nockton,2010-03-01,18,1755280,0.03,52658,Office Supplies,Appliances
2719,Order Returned,Sam Zeldin,2009-06-25,17,2064144,0.06,123849,Furniture,Tables
2723,Order Returned,Jas O'Carroll,2010-08-03,22,247900,0.01,2479,Office Supplies,Binders & Binder Accessories
2724,Order Finished,Alejandro Grove,2010-10-29,39,18163960,0.02,363279,Office Supplies,Appliances
2725,Order Finished,Mick Hernandez,2010-04-20,28,962540,0.01,9625,Office Supplies,Storage & Organization
2728,Order Finished,Sean O'Donnell,2011-04-03,50,338260,0.0,0,Office Supplies,Paper
2730,Order Finished,Jane Waco,2011-08-17,22,272360,0.08,21789,Office Supplies,Paper
2732,Order Finished,Pamela Coakley,2012-07-17,44,256440,0.07,17951,Office Supplies,Pens & Art Supplies
2734,Order Finished,Chris Selesnick,2009-11-29,20,614920,0.02,12298,Furniture,Office Furnishings
2735,Order Finished,Matt Connell,2009-06-23,10,73820,0.07,5167,Office Supplies,Pens & Art Supplies
2737,Order Finished,Stephanie Ulpright,2009-05-02,25,344840,0.09,31036,Office Supplies,Binders & Binder Accessories
2738,Order Returned,Alejandro Grove,2009-02-02,44,727840,0.0,0,Furniture,Office Furnishings
2739,Order Finished,Chris Selesnick,2011-02-24,50,15557516,0.0,0,Technology,Telephones & Communication
2740,Order Finished,Sandra Flanagan,2012-02-04,47,2002340,0.0,0,Office Supplies,Paper
2741,Order Finished,Sally Hughsby,2009-06-30,14,1781800,0.05,89090,Furniture,Office Furnishings
2745,Order Finished,Odella Nelson,2009-04-21,12,764580,0.05,38229,Office Supplies,Paper
2746,Order Finished,Ben Ferrer,2009-12-06,2,37620,0.08,3010,Office Supplies,Paper
2748,Order Finished,Harold Ryan,2012-10-29,30,10909020,0.03,327271,Furniture,Chairs & Chairmats
2750,Order Returned,Liz Willingham,2010-09-24,39,37122620,0.05,1856131,Furniture,Chairs & Chairmats
2755,Order Finished,Harold Ryan,2009-06-30,44,2862000,0.02,57240,Technology,Computer Peripherals
2756,Order Finished,Sam Zeldin,2009-06-12,16,159960,0.09,14396,Furniture,Office Furnishings
2757,Order Returned,Jas O'Carroll,2010-10-01,45,276900,0.03,8307,Office Supplies,Pens & Art Supplies
2758,Order Finished,Robert Marley,2009-06-01,4,48640,0.05,2432,Office Supplies,Rubber Bands
2760,Order Finished,Harold Ryan,2009-09-10,24,6237200,0.06,374232,Furniture,Chairs & Chairmats
2761,Order Finished,Mick Hernandez,2012-06-10,46,306560,0.09,27590,Office Supplies,Pens & Art Supplies
2766,Order Finished,Herbert Flentye,2010-07-07,7,3645660,0.08,291653,Furniture,Tables
2768,Order Finished,John Lucas,2012-03-04,50,3750829,0.05,187541,Technology,Telephones & Communication
2772,Order Finished,Bill Overfelt,2011-07-23,22,1299420,0.07,90959,Technology,Computer Peripherals
2776,Order Finished,Laura Armstrong,2012-08-22,50,750220,0.01,7502,Office Supplies,Paper
2782,Order Returned,Jim Kriz,2010-11-09,26,3229680,0.02,64594,Office Supplies,Appliances
2783,Order Finished,Sally Hughsby,2009-07-21,33,2844620,0.02,56892,Technology,Computer Peripherals
2786,Order Finished,Nat Carroll,2012-12-10,17,466020,0.04,18641,Office Supplies,Binders & Binder Accessories
2788,Order Finished,Stephanie Ulpright,2009-09-02,46,201200,0.03,6036,Office Supplies,Pens & Art Supplies
2789,Order Finished,Bill Overfelt,2011-03-19,35,266140,0.02,5323,Office Supplies,Rubber Bands
2790,Order Finished,Alejandro Grove,2012-04-14,25,137080,0.1,13708,Office Supplies,Labels
2796,Order Finished,Sarah Foster,2011-11-08,16,273960,0.04,10958,Office Supplies,Envelopes
2797,Order Finished,Tony Chapman,2011-05-11,50,3786580,0.07,265061,Office Supplies,Binders & Binder Accessories
2798,Order Finished,Alejandro Grove,2010-04-10,46,22005320,0.07,1540372,Furniture,Chairs & Chairmats
2799,Order Finished,Steve Nguyen,2009-06-11,14,962800,0.04,38512,Office Supplies,Paper
2802,Order Finished,Sandra Flanagan,2012-01-30,40,529200,0.1,52920,Office Supplies,Paper
2803,Order Finished,Arthur Prichep,2012-08-15,21,1329978,0.04,53199,Technology,Telephones & Communication
2804,Order Finished,Ryan Akin,2009-03-02,47,842160,0.0,0,Technology,Computer Peripherals
2805,Order Finished,Nat Carroll,2010-12-24,16,5669920,0.07,396894,Office Supplies,Storage & Organization
2806,Order Finished,Stephanie Ulpright,2010-12-05,26,349160,0.08,27933,Office Supplies,"Scissors, Rulers & Trimmers"
2807,Order Returned,Katherine Nockton,2010-12-03,1,75780,0.0,0,Technology,Computer Peripherals
2808,Order Returned,Jane Waco,2010-10-06,33,5065235,0.0,0,Technology,Telephones & Communication
2809,Order Finished,Sally Hughsby,2009-02-20,37,319780,0.03,9593,Office Supplies,Appliances
2810,Order Finished,John Castell,2009-07-17,32,355040,0.05,17752,Office Supplies,Envelopes
2814,Order Finished,Karen Daniels,2011-08-14,9,146100,0.1,14610,Office Supplies,Paper
2815,Order Finished,Scott Cohen,2009-04-21,1,94080,0.06,5645,Office Supplies,Appliances
2818,Order Finished,Vivek Grady,2011-10-31,6,29700,0.05,1485,Office Supplies,Rubber Bands
2822,Order Finished,John Lucas,2009-08-22,23,2512580,0.04,100503,Office Supplies,Paper
2825,Order Finished,Arthur Prichep,2012-05-07,11,546880,0.01,5469,Office Supplies,Binders & Binder Accessories
2826,Order Returned,Sally Hughsby,2011-11-18,19,1229820,0.02,24596,Office Supplies,Paper
2829,Order Finished,Greg Hansen,2010-09-17,30,794340,0.1,79434,Furniture,Office Furnishings
2830,Order Finished,Alejandro Grove,2009-04-19,36,36185320,0.09,3256679,Office Supplies,Binders & Binder Accessories
2831,Order Finished,Lindsay Shagiari,2010-05-20,32,569840,0.03,17095,Office Supplies,Paper
2833,Order Finished,Ken Brennan,2012-07-12,13,140480,0.03,4214,Office Supplies,Paper
2834,Order Finished,Max Jones,2010-09-04,6,1167280,0.08,93382,Office Supplies,Storage & Organization
2836,Order Finished,Ken Brennan,2010-12-01,33,25172380,0.0,0,Office Supplies,Storage & Organization
2840,Order Finished,Max Jones,2012-10-04,31,743360,0.03,22301,Office Supplies,Storage & Organization
2843,Order Finished,Lena Creighton,2011-11-10,30,622160,0.08,49773,Office Supplies,Appliances
2845,Order Finished,Dennis Bolton,2009-05-15,45,3604000,0.02,72080,Office Supplies,Binders & Binder Accessories
2846,Order Finished,Maureen Fritzler,2012-02-04,29,517220,0.07,36205,Office Supplies,Binders & Binder Accessories
2847,Order Finished,Art Foster,2010-05-26,33,2758680,0.04,110347,Technology,Computer Peripherals
2848,Order Finished,Erica Hackney,2010-04-20,41,3742260,0.01,37423,Furniture,Office Furnishings
2850,Order Returned,Jessica Myrick,2011-06-28,15,1255380,0.0,0,Technology,Computer Peripherals
2854,Order Finished,Dennis Bolton,2011-10-20,16,223800,0.01,2238,Office Supplies,Pens & Art Supplies
2855,Order Finished,Jenna Caffey,2012-07-27,8,2347000,0.0,0,Furniture,Chairs & Chairmats
2856,Order Finished,Max Jones,2011-04-13,43,421320,0.08,33706,Office Supplies,Binders & Binder Accessories
2859,Order Finished,Ken Brennan,2011-07-13,31,247860,0.1,24786,Office Supplies,Pens & Art Supplies
2860,Order Finished,Jenna Caffey,2011-05-31,32,762480,0.04,30499,Office Supplies,Paper
2862,Order Finished,Jessica Myrick,2010-10-14,1,368920,0.05,18446,Furniture,Chairs & Chairmats
2863,Order Finished,Harry Marie,2010-11-14,28,1149980,0.06,68999,Technology,Computer Peripherals
2864,Order Finished,Erica Hackney,2010-01-15,45,7506840,0.0,0,Technology,Computer Peripherals
2866,Order Finished,Troy Blackwell,2010-02-06,42,446660,0.0,0,Technology,Computer Peripherals
2870,Order Finished,Harry Marie,2011-08-14,29,6436840,0.08,514947,Furniture,Bookcases
2872,Order Finished,Art Foster,2009-01-31,6,902880,0.1,90288,Office Supplies,Appliances
2873,Order Finished,Odella Nelson,2010-07-26,47,2582700,0.04,103308,Office Supplies,Paper
2874,Order Finished,Clytie Kelty,2010-01-12,39,1714640,0.05,85732,Furniture,Office Furnishings
2876,Order Finished,Steven Roelle,2011-07-18,38,9300140,0.04,372006,Furniture,Bookcases
2881,Order Finished,Lena Creighton,2011-02-10,9,237900,0.03,7137,Furniture,Office Furnishings
2884,Order Finished,Lena Creighton,2012-05-03,24,2608055,0.1,260806,Technology,Telephones & Communication
2885,Order Finished,Beth Thompson,2009-03-19,28,309220,0.06,18553,Office Supplies,Binders & Binder Accessories
2887,Order Finished,Rob Haberlin,2012-09-15,16,1025620,0.1,102562,Furniture,Chairs & Chairmats
2888,Order Finished,Fred Wasserman,2009-12-06,8,338220,0.0,0,Technology,Computer Peripherals
2890,Order Finished,Lena Creighton,2010-02-19,4,313940,0.01,3139,Office Supplies,Binders & Binder Accessories
2892,Order Returned,Clytie Kelty,2012-04-28,37,3969220,0.05,198461,Office Supplies,Paper
2895,Order Finished,Jenna Caffey,2010-12-04,3,3081540,0.04,123262,Technology,Copiers & Fax
2898,Order Finished,Ken Brennan,2012-03-13,20,481480,0.05,24074,Office Supplies,Paper
2899,Order Finished,Ken Brennan,2010-06-16,21,6145720,0.08,491658,Furniture,Tables
2904,Order Finished,Don Weiss,2009-03-27,11,3472520,0.01,34725,Furniture,Chairs & Chairmats
2907,Order Finished,Jim Sink,2009-07-24,31,6155462,0.05,307773,Technology,Telephones & Communication
2909,Order Finished,Jim Sink,2010-01-25,45,30936432,0.01,309364,Furniture,Tables
2912,Order Finished,Hallie Redmond,2012-04-09,3,1209152,0.03,36275,Furniture,Tables
2916,Order Finished,Benjamin Patterson,2009-05-07,43,4502994,0.09,405269,Technology,Telephones & Communication
2918,Order Finished,Michael Dominguez,2009-06-22,18,184800,0.04,7392,Office Supplies,Envelopes
2922,Order Finished,Mark Cousins,2010-05-31,48,184500,0.07,12915,Office Supplies,Rubber Bands
2923,Order Returned,Kalyca Meade,2010-11-26,24,951800,0.02,19036,Office Supplies,Paper
2925,Order Finished,Michael Dominguez,2010-10-27,17,408140,0.08,32651,Office Supplies,Appliances
2926,Order Finished,Max Jones,2009-10-13,48,224320,0.0,0,Furniture,Office Furnishings
2929,Order Returned,Clytie Kelty,2011-06-03,19,7792780,0.1,779278,Furniture,Chairs & Chairmats
2931,Order Finished,Max Jones,2010-12-05,34,151140,0.02,3023,Office Supplies,Pens & Art Supplies
2933,Order Finished,Max Jones,2009-07-26,40,42851820,0.01,428518,Furniture,Chairs & Chairmats
2934,Order Finished,Gene Mc Clure,2010-07-03,20,10608840,0.01,106088,Furniture,Tables
2936,Order Finished,Denny Joy,2012-04-07,50,4037360,0.1,403736,Technology,Computer Peripherals
2938,Order Finished,John Castell,2009-11-10,39,7685980,0.04,307439,Office Supplies,Storage & Organization
2939,Order Finished,Clytie Kelty,2009-06-04,32,3174320,0.09,285689,Technology,Computer Peripherals
2941,Order Finished,Michael Dominguez,2011-10-02,1,141820,0.03,4255,Office Supplies,Appliances
2945,Order Returned,Amy Cox,2009-01-15,7,102540,0.06,6152,Office Supplies,Paper
2947,Order Finished,Maureen Fritzler,2010-07-03,22,799280,0.04,31971,Technology,Office Machines
2948,Order Returned,Mark Cousins,2012-06-22,20,2714880,0.09,244339,Furniture,Bookcases
2950,Order Finished,Michael Dominguez,2012-06-07,36,8339860,0.1,833986,Office Supplies,Binders & Binder Accessories
2952,Order Finished,Hallie Redmond,2012-06-29,4,1514220,0.07,105995,Furniture,Chairs & Chairmats
2954,Order Finished,Odella Nelson,2012-10-24,8,211900,0.01,2119,Office Supplies,Pens & Art Supplies
2955,Order Finished,Lena Creighton,2009-02-13,44,10967920,0.02,219358,Furniture,Bookcases
2960,Order Finished,Benjamin Patterson,2010-02-26,21,681400,0.05,34070,Furniture,Tables
2963,Order Finished,Steven Roelle,2012-07-31,47,514400,0.04,20576,Office Supplies,Appliances
2965,Order Finished,Ken Brennan,2012-03-02,17,2767800,0.05,138390,Technology,Computer Peripherals
2966,Order Finished,Amy Cox,2011-03-15,37,264240,0.07,18497,Office Supplies,Labels
2968,Order Finished,Kristen Hastings,2011-11-05,14,6047460,0.09,544271,Furniture,Tables
2969,Order Finished,Kristen Hastings,2009-01-18,25,17750340,0.05,887517,Furniture,Chairs & Chairmats
2970,Order Finished,Katrina Willman,2010-09-09,36,7204240,0.05,360212,Furniture,Chairs & Chairmats
2975,Order Finished,Benjamin Venier,2012-04-09,48,6801260,0.08,544101,Furniture,Bookcases
2976,Order Finished,Karl Brown,2011-06-23,22,3367140,0.1,336714,Technology,Computer Peripherals
2977,Order Finished,Aaron Hawkins,2011-02-24,27,610100,0.04,24404,Office Supplies,"Scissors, Rulers & Trimmers"
2981,Order Finished,David Kendrick,2010-07-20,30,3550660,0.05,177533,Furniture,Office Furnishings
2983,Order Finished,Tracy Poddar,2011-12-20,35,1078420,0.05,53921,Furniture,Tables
2984,Order Finished,Troy Staebel,2011-02-02,4,247640,0.05,12382,Furniture,Office Furnishings
2985,Order Finished,Raymond Fair,2009-04-22,33,6774640,0.05,338732,Technology,Computer Peripherals
2986,Order Finished,Alejandro Savely,2010-12-13,30,1981460,0.02,39629,Technology,Computer Peripherals
2987,Order Returned,Becky Martin,2012-08-28,47,18524700,0.09,1667223,Technology,Copiers & Fax
2989,Order Finished,Karl Brown,2012-08-21,19,837400,0.05,41870,Office Supplies,Pens & Art Supplies
2990,Order Finished,Amy Cox,2011-07-22,19,386500,0.03,11595,Office Supplies,Pens & Art Supplies
2992,Order Finished,Michael Kennedy,2012-02-10,23,211860,0.05,10593,Office Supplies,Paper
2993,Order Returned,Eleni Mc Crary,2012-08-29,9,5286300,0.01,52863,Furniture,Tables
2996,Order Finished,Sara Luxemburg,2011-10-25,19,3233740,0.1,323374,Furniture,Chairs & Chairmats
2998,Order Finished,Eric Barreto,2010-01-12,3,449488,0.02,8990,Furniture,Tables
2999,Order Finished,Amy Cox,2010-09-24,7,706040,0.0,0,Office Supplies,Appliances
3000,Order Finished,Katherine Murray,2012-05-02,24,444860,0.06,26692,Office Supplies,Paper
3002,Order Finished,Michael Kennedy,2012-06-27,43,1242880,0.08,99430,Office Supplies,Storage & Organization
3005,Order Finished,Denise Leinenbach,2011-08-17,10,394420,0.06,23665,Office Supplies,Binders & Binder Accessories
3006,Order Finished,Evan Henry,2012-12-11,4,56080,0.09,5047,Office Supplies,Paper
3007,Order Finished,Kean Thornton,2012-06-08,13,7447980,0.03,223439,Office Supplies,Appliances
3011,Order Returned,Julie Prescott,2009-03-17,38,673700,0.01,6737,Technology,Computer Peripherals
3012,Order Finished,Cari Mac Intyre,2011-11-13,47,29920192,0.01,299202,Furniture,Tables
3013,Order Finished,Grant Donatelli,2012-05-14,39,2687200,0.06,161232,Office Supplies,Envelopes
3015,Order Finished,Julie Prescott,2011-08-09,4,51640,0.01,516,Office Supplies,Paper
3016,Order Finished,Jason Fortune,2010-05-21,12,174220,0.08,13938,Technology,Computer Peripherals
3017,Order Finished,Candace Mc Mahon,2010-02-26,40,243840,0.09,21946,Office Supplies,Labels
3019,Order Finished,Jim Karlsson,2011-07-25,20,195300,0.04,7812,Furniture,Office Furnishings
3020,Order Returned,Philip Fox,2009-11-29,21,704880,0.09,63439,Office Supplies,Pens & Art Supplies
3021,Order Returned,Candace Mc Mahon,2009-12-14,8,229460,0.03,6884,Furniture,Office Furnishings
3022,Order Finished,Grant Carroll,2012-04-27,30,6590300,0.07,461321,Technology,Computer Peripherals
3027,Order Finished,Grant Donatelli,2012-09-12,7,7755760,0.08,620461,Furniture,Tables
3030,Order Finished,Philip Fox,2012-12-12,47,1066940,0.09,96025,Office Supplies,Binders & Binder Accessories
3034,Order Finished,Grant Carroll,2011-07-04,39,631760,0.09,56858,Technology,Computer Peripherals
3038,Order Finished,Patrick Jones,2010-08-23,48,15036240,0.04,601450,Technology,Computer Peripherals
3040,Order Finished,Ionia Mc Grath,2010-12-26,15,136640,0.05,6832,Office Supplies,Paper
3041,Order Finished,Ionia Mc Grath,2012-06-15,41,3983860,0.02,79677,Office Supplies,Paper
3046,Order Finished,Quincy Jones,2011-06-30,43,898340,0.01,8983,Office Supplies,Pens & Art Supplies
3047,Order Finished,Lori Olson,2010-10-07,37,3040520,0.04,121621,Office Supplies,Binders & Binder Accessories
3048,Order Finished,Ionia Mc Grath,2009-02-10,41,947340,0.04,37894,Office Supplies,Paper
3050,Order Finished,Karen Seio,2010-05-14,33,15738440,0.1,1573844,Furniture,Chairs & Chairmats
3052,Order Finished,Ionia Mc Grath,2010-12-10,27,3982520,0.01,39825,Office Supplies,Appliances
3053,Order Finished,Patrick Jones,2010-02-25,32,767620,0.03,23029,Office Supplies,Storage & Organization
3054,Order Finished,Nona Balk,2010-08-26,12,4101424,0.05,205071,Furniture,Tables
3056,Order Finished,Quincy Jones,2011-07-22,46,462700,0.03,13881,Office Supplies,Paper
3057,Order Finished,Lori Olson,2012-07-14,27,1797800,0.03,53934,Technology,Computer Peripherals
3059,Order Finished,Nona Balk,2011-07-06,1,19380,0.05,969,Office Supplies,Paper
3060,Order Finished,John Lee,2010-07-17,37,853280,0.09,76795,Furniture,Office Furnishings
3062,Order Finished,John Lee,2009-01-17,33,1057080,0.06,63425,Technology,Computer Peripherals
3069,Order Finished,Patrick Jones,2012-07-12,3,472640,0.03,14179,Technology,Computer Peripherals
3071,Order Finished,Patrick Jones,2012-11-10,1,13540,0.06,812,Office Supplies,Pens & Art Supplies
3072,Order Finished,Nathan Mautz,2009-03-01,1,7100560,0.06,426034,Technology,Copiers & Fax
3076,Order Finished,Erin Mull,2012-04-17,42,399160,0.05,19958,Office Supplies,Binders & Binder Accessories
3078,Order Finished,Ionia Mc Grath,2009-11-21,33,3289180,0.09,296026,Technology,Computer Peripherals
3081,Order Finished,Nathan Mautz,2012-08-12,22,304880,0.03,9146,Office Supplies,Paper
3082,Order Returned,Karen Seio,2012-08-11,20,5700620,0.09,513056,Office Supplies,Storage & Organization
3083,Order Finished,Emily Phan,2009-03-21,13,178122100,0.0,0,Technology,Office Machines
3084,Order Finished,Ionia Mc Grath,2009-09-30,50,5721860,0.03,171656,Technology,Telephones & Communication
3086,Order Finished,Emily Phan,2010-09-21,16,672580,0.08,53806,Office Supplies,Pens & Art Supplies
3088,Order Finished,Patrick Jones,2009-07-17,50,173400,0.07,12138,Furniture,Office Furnishings
3089,Order Returned,Nathan Mautz,2010-01-20,26,1728320,0.09,155549,Furniture,Office Furnishings
3090,Order Finished,Patrick Jones,2012-06-04,16,1246700,0.03,37401,Office Supplies,Paper
3091,Order Finished,Erin Mull,2012-02-23,9,141760,0.01,1418,Office Supplies,Paper
3092,Order Finished,Nathan Mautz,2012-04-29,10,111640,0.01,1116,Furniture,Office Furnishings
3093,Order Finished,Nathan Mautz,2010-02-20,39,426000,0.01,4260,Office Supplies,Paper
3094,Order Finished,Nathan Mautz,2010-08-15,39,462160,0.01,4622,Office Supplies,Paper
3095,Order Finished,Ionia Mc Grath,2011-12-05,26,236860,0.02,4737,Office Supplies,Paper
3099,Order Finished,Emily Phan,2011-08-17,11,254640,0.1,25464,Office Supplies,Binders & Binder Accessories
3102,Order Returned,Karen Seio,2010-04-19,18,169480,0.06,10169,Office Supplies,Labels
3103,Order Finished,Patrick Gardner,2011-11-21,40,204300,0.03,6129,Furniture,Office Furnishings
3104,Order Finished,Ionia Mc Grath,2011-08-14,3,39140,0.02,783,Office Supplies,Pens & Art Supplies
3105,Order Finished,Patrick Jones,2009-10-28,43,1713800,0.02,34276,Office Supplies,Paper
3107,Order Finished,Justin Deggeller,2011-10-21,31,1310660,0.08,104853,Office Supplies,Pens & Art Supplies
3108,Order Finished,Tony Sayre,2009-03-28,10,1916360,0.03,57491,Technology,Office Machines
3109,Order Finished,Karen Seio,2010-08-03,19,1012980,0.06,60779,Office Supplies,Appliances
3110,Order Finished,Patrick Jones,2012-05-26,49,3889740,0.06,233384,Office Supplies,Appliances
3111,Order Returned,Erin Mull,2010-02-02,40,288560,0.01,2886,Office Supplies,Labels
3112,Order Finished,Tony Sayre,2011-08-03,41,835060,0.02,16701,Furniture,Office Furnishings
3114,Order Finished,Patrick Jones,2012-09-18,13,152760,0.03,4583,Office Supplies,Binders & Binder Accessories
3115,Order Finished,Patrick Jones,2012-01-06,10,172000,0.05,8600,Office Supplies,Appliances
3116,Order Finished,Patrick Jones,2010-09-07,36,293420,0.01,2934,Office Supplies,Paper
3120,Order Finished,Stefanie Holloman,2011-08-09,41,1452440,0.01,14524,Furniture,Office Furnishings
3122,Order Finished,Joe Elijah,2011-06-11,22,1292140,0.06,77528,Technology,Computer Peripherals
3123,Order Finished,Lindsay Williams,2010-04-19,4,253740,0.08,20299,Technology,Computer Peripherals
3125,Order Returned,Keith Dawkins,2009-02-27,28,669780,0.03,20093,Technology,Office Machines
3128,Order Finished,Ken Black,2012-09-30,31,1875600,0.0,0,Office Supplies,Storage & Organization
3129,Order Finished,Dave Brooks,2009-05-14,40,454740,0.0,0,Office Supplies,Paper
3132,Order Finished,Marc Crier,2010-05-25,5,2773200,0.09,249588,Furniture,Chairs & Chairmats
3135,Order Finished,Deborah Brumfield,2009-04-27,38,21647680,0.09,1948291,Technology,Computer Peripherals
3137,Order Finished,Nicole Brennan,2009-10-09,20,189720,0.08,15178,Office Supplies,Labels
3138,Order Finished,John Lee,2010-04-30,44,349800,0.06,20988,Office Supplies,Binders & Binder Accessories
3140,Order Finished,Marc Crier,2011-09-07,20,134060,0.04,5362,Office Supplies,"Scissors, Rulers & Trimmers"
3144,Order Finished,Keith Dawkins,2009-03-27,29,1095640,0.08,87651,Furniture,Office Furnishings
3145,Order Finished,Marc Crier,2010-10-21,14,556540,0.02,11131,Office Supplies,Binders & Binder Accessories
3147,Order Returned,Keith Dawkins,2011-05-31,7,2022320,0.02,40446,Furniture,Office Furnishings
3148,Order Finished,Steve Chapman,2010-03-01,8,361580,0.05,18079,Office Supplies,Paper
3149,Order Finished,Ken Black,2010-01-26,8,975180,0.04,39007,Furniture,Bookcases
3151,Order Finished,Deborah Brumfield,2011-10-18,16,646520,0.06,38791,Furniture,Office Furnishings
3153,Order Finished,Denise Monton,2010-02-24,10,417540,0.07,29228,Technology,Computer Peripherals
3154,Order Finished,Scot Wooten,2012-11-28,4,68540,0.1,6854,Office Supplies,Paper
3155,Order Finished,Marc Crier,2009-02-01,41,6558020,0.06,393481,Technology,Office Machines
3159,Order Finished,Marc Crier,2010-11-01,11,173580,0.06,10415,Technology,Computer Peripherals
3164,Order Finished,Keith Dawkins,2011-11-03,11,932700,0.01,9327,Furniture,Office Furnishings
3165,Order Finished,John Lee,2012-04-03,42,306020,0.04,12241,Office Supplies,Binders & Binder Accessories
3167,Order Returned,Joe Elijah,2010-07-17,41,450120,0.05,22506,Office Supplies,Binders & Binder Accessories
3168,Order Finished,Marc Crier,2009-04-08,3,65520,0.06,3931,Office Supplies,Labels
3169,Order Finished,Steve Chapman,2011-11-19,21,3006980,0.03,90209,Office Supplies,Appliances
3175,Order Returned,Steve Chapman,2010-06-25,8,98280,0.05,4914,Office Supplies,Paper
3176,Order Finished,John Lee,2011-04-24,10,3201700,0.07,224119,Furniture,Tables
3179,Order Finished,Denise Monton,2011-05-03,27,188920,0.02,3778,Office Supplies,Pens & Art Supplies
3184,Order Finished,Lindsay Williams,2012-09-12,41,16376380,0.05,818819,Technology,Office Machines
3186,Order Finished,John Lee,2010-08-26,42,618340,0.09,55651,Office Supplies,Appliances
3188,Order Finished,Joe Elijah,2009-01-16,35,1007500,0.0,0,Office Supplies,Storage & Organization
3192,Order Finished,Marc Crier,2012-11-06,25,244100,0.0,0,Office Supplies,Binders & Binder Accessories
3193,Order Finished,Scot Wooten,2011-11-05,10,96000,0.09,8640,Furniture,Office Furnishings
3194,Order Finished,Joe Elijah,2010-08-28,33,1010160,0.01,10102,Office Supplies,Binders & Binder Accessories
3196,Order Finished,Stefanie Holloman,2009-01-26,10,785540,0.09,70699,Technology,Computer Peripherals
3197,Order Finished,Ed Braxton,2012-04-14,38,3008440,0.02,60169,Technology,Computer Peripherals
3198,Order Finished,Ed Braxton,2010-09-26,50,1490960,0.02,29819,Office Supplies,Appliances
3200,Order Finished,Corey Catlett,2012-02-29,25,303500,0.04,12140,Office Supplies,Binders & Binder Accessories
3203,Order Finished,Penelope Sewall,2011-04-06,23,621040,0.01,6210,Office Supplies,"Scissors, Rulers & Trimmers"
3204,Order Finished,Sean Braxton,2009-09-28,2,1379480,0.06,82769,Office Supplies,Appliances
3207,Order Finished,Thais Sissman,2012-02-17,20,119700,0.03,3591,Office Supplies,Pens & Art Supplies
3209,Order Finished,Tanja Norvell,2010-01-25,15,988680,0.05,49434,Office Supplies,Storage & Organization
3210,Order Finished,Linda Southworth,2010-09-14,47,4300500,0.06,258030,Office Supplies,Appliances
3211,Order Finished,Michael Moore,2012-08-26,21,7258235,0.06,435494,Technology,Telephones & Communication
3213,Order Finished,Troy Blackwell,2011-10-16,30,16633520,0.05,831676,Office Supplies,Appliances
3215,Order Finished,Ross Baird,2009-09-19,35,1575120,0.0,0,Office Supplies,Pens & Art Supplies
3216,Order Finished,Ross Baird,2009-12-11,37,1131820,0.05,56591,Furniture,Office Furnishings
3217,Order Finished,Tracy Zic,2010-04-11,13,196780,0.01,1968,Office Supplies,Paper
3222,Order Finished,Roy Skaria,2009-05-17,7,41000,0.06,2460,Office Supplies,Pens & Art Supplies
3223,Order Finished,Steven Ward,2011-11-26,16,153200,0.01,1532,Office Supplies,Binders & Binder Accessories
3226,Order Finished,Ryan Crowe,2009-03-28,42,589560,0.05,29478,Office Supplies,Paper
3227,Order Finished,Roy Skaria,2012-09-12,45,565420,0.09,50888,Office Supplies,Paper
3229,Order Finished,Irene Maddox,2011-11-01,36,9467400,0.0,0,Furniture,Chairs & Chairmats
3232,Order Finished,Maurice Satty,2009-04-06,27,769480,0.01,7695,Office Supplies,Storage & Organization
3233,Order Returned,Henry Goldwyn,2009-12-29,24,267880,0.08,21430,Office Supplies,Pens & Art Supplies
3235,Order Finished,Roy Skaria,2010-08-15,23,42125820,0.01,421258,Furniture,Bookcases
3237,Order Finished,Maureen Grace,2010-05-29,43,7363499,0.01,73635,Technology,Telephones & Communication
3238,Order Finished,Eric Hoffmann,2010-09-30,36,4600900,0.02,92018,Office Supplies,Envelopes
3239,Order Finished,Jill Stevenson,2012-02-27,32,2850120,0.1,285012,Office Supplies,Paper
3240,Order Finished,Evan Bailliet,2012-01-12,3,62700,0.03,1881,Office Supplies,Binders & Binder Accessories
3241,Order Finished,Meg Tillman,2009-06-03,46,22115200,0.08,1769216,Furniture,Tables
3242,Order Finished,Gary Mc Garr,2011-05-12,44,20891900,0.07,1462433,Furniture,Chairs & Chairmats
3243,Order Finished,Russell D'Ascenzo,2012-05-13,15,132660,0.03,3980,Office Supplies,Binders & Binder Accessories
3244,Order Finished,Gary Hwang,2012-06-20,28,395148,0.05,19757,Technology,Telephones & Communication
3245,Order Finished,Meg Tillman,2010-05-05,37,9871440,0.07,691001,Furniture,Bookcases
3247,Order Finished,Emily Ducich,2009-04-09,8,171700,0.03,5151,Office Supplies,Appliances
3248,Order Finished,Stewart Visinsky,2011-05-28,41,344300,0.02,6886,Office Supplies,Labels
3250,Order Finished,Linda Southworth,2010-01-03,37,3535760,0.07,247503,Office Supplies,Appliances
3251,Order Finished,Henry Goldwyn,2011-10-16,17,5275560,0.04,211022,Technology,Computer Peripherals
